,id,lang,label,key
0,Q29,ay,Ispaña,name:ay
1,Q29,az,İspaniya,name:az
2,Q29,ba,Испания,name:ba
3,Q29,bn,স্পেন,name:bn
4,Q29,bo,ཞི་པན་ཡ།,name:bo
5,Q29,bs,Španija,name:bs
6,Q29,ce,Испани,name:ce
7,Q29,cu,Їспанїꙗ,name:cu
8,Q29,cv,Испани,name:cv
9,Q29,dv,އިސްޕެއިން,name:dv
10,Q29,dz,སིཔཱེན་,name:dz
11,Q29,et,Hispaania,name:et
12,Q29,ff,Hispaanya,name:ff
13,Q29,fo,Spania,name:fo
14,Q29,fy,Spanje,name:fy
15,Q29,ga,An Spáinn,name:ga
16,Q29,gd,An Spàinn,name:gd
17,Q29,gu,સ્પેન,name:gu
18,Q29,gv,Yn Spaainey,name:gv
19,Q29,ha,Ispaniya,name:ha
20,Q29,hi,स्पेन,name:hi
21,Q29,hr,Španjolska,name:hr
22,Q29,ht,Espay,name:ht
23,Q29,ik,Spaña,name:ik
24,Q29,is,Spánn,name:is
25,Q29,iu,ᓯᐸᐃᓐ,name:iu
26,Q29,jv,Spanyol,name:jv
27,Q29,ka,ესპანეთი,name:ka
28,Q29,kg,Espania,name:kg
29,Q29,kk,Испания,name:kk
30,Q29,kl,Spania,name:kl
31,Q29,km,អេស្ប៉ាញ,name:km
32,Q29,kn,ಸ್ಪೇನ್,name:kn
33,Q29,ks,ہِسپٲنِیا,name:ks
34,Q29,ku,Spanya,name:ku
35,Q29,kv,Испания,name:kv
36,Q29,kw,Spayn,name:kw
37,Q29,ky,Испания,name:ky
38,Q29,lb,Spuenien,name:lb
39,Q29,li,Spanje,name:li
40,Q29,ln,Espania,name:ln
41,Q29,lo,ປະເທດແອສະປາຍ,name:lo
42,Q29,lt,Ispanija,name:lt
43,Q29,lv,Spānija,name:lv
44,Q142,mt,Franza,name:mt
45,Q142,eu,Frantzia,name:eu
46,Q142,ve,Fura,name:ve
47,Q142,ga,An Fhrainc,name:ga
48,Q142,sq,Francë,name:sq
49,Q142,sk,Francúzsko,name:sk
50,Q142,hy,Ֆրանսիա,name:hy
51,Q142,aa,Faransa,name:aa
52,Q142,ab,Франциа,name:ab
53,Q142,am,ፈረንሣይ,name:am
54,Q142,an,Francia,name:an
55,Q142,as,ফ্ৰান্স,name:as
56,Q142,av,Франсия,name:av
57,Q142,ay,Phransiya,name:ay
58,Q142,az,Fransa,name:az
59,Q142,ba,Франция,name:ba
60,Q142,bi,Franis,name:bi
61,Q142,bo,ཧྥ་རན་སི།,name:bo
62,Q142,br,Frañs,name:br
63,Q142,ce,Франци,name:ce
64,Q142,ch,Francia,name:ch
65,Q142,co,Francia,name:co
66,Q142,cu,Франкїꙗ,name:cu
67,Q142,cy,Ffrainc,name:cy
68,Q142,dv,ފަރަންސޭސިވިލާތް,name:dv
69,Q142,dz,ཕརཱནསི་,name:dz
70,Q142,ff,Faransi,name:ff
71,Q142,fj,Varanise,name:fj
72,Q142,fo,Frakland,name:fo
73,Q142,gd,An Fhraing,name:gd
74,Q142,gn,Hyãsia,name:gn
75,Q142,gu,ફ્રાન્સ,name:gu
76,Q142,gv,Yn Rank,name:gv
77,Q142,ha,Faransa,name:ha
78,Q142,hi,फ़्रान्स,name:hi
79,Q142,hr,Francuska,name:hr
80,Q142,ia,Francia,name:ia
81,Q142,id,Prancis,name:id
82,Q142,ie,Francia,name:ie
83,Q142,io,Francia,name:io
84,Q142,is,Frakkland,name:is
85,Q142,jv,Prancis,name:jv
86,Q142,ka,საფრანგეთი,name:ka
87,Q142,kg,Fwalansa,name:kg
88,Q142,ki,Baranja,name:ki
89,Q142,kk,Франция,name:kk
90,Q142,kl,Franskit Nunaat,name:kl
91,Q142,km,បារាំង,name:km
92,Q142,kn,ಫ್ರಾನ್ಸ್,name:kn
93,Q142,ku,Fransa,name:ku
94,Q142,kv,Франция,name:kv
95,Q142,kw,Pow Frynk,name:kw
96,Q142,lb,Frankräich,name:lb
97,Q142,lg,Bufalansa,name:lg
98,Q142,li,Frankriek,name:li
99,Q142,ln,Falansia,name:ln
100,Q142,lo,ປະເທດຝະລັ່ງ,name:lo
101,Q142,lt,Prancūzija,name:lt
102,Q142,lv,Francija,name:lv
103,Q142,mg,Frantsa,name:mg
104,Q142,mi,Wīwī,name:mi
105,Q142,mk,Франција,name:mk
106,Q142,ml,ഫ്രാൻസ്,name:ml
107,Q142,mn,Франц,name:mn
108,Q142,mo,Франца,name:mo
109,Q142,mr,फ्रान्स,name:mr
110,Q142,ms,Perancis,name:ms
111,Q142,my,ပြင်သစ်နိုင်ငံ,name:my
112,Q142,na,Prant,name:na
113,Q142,ne,फ्रान्स,name:ne
114,Q142,nn,Frankrike,name:nn
115,Q142,nv,Dáághahii Dineʼé Bikéyah,name:nv
116,Q142,om,Firaansi,name:om
117,Q142,or,ଫ୍ରାନ୍ସ,name:or
118,Q142,os,Франц,name:os
119,Q142,pa,ਫ਼ਰਾਂਸ,name:pa
120,Q142,pi,फ्रांस,name:pi
121,Q142,ps,فرانسه,name:ps
122,Q142,qu,Ransiya,name:qu
123,Q142,rm,Frantscha,name:rm
124,Q142,rn,Francia,name:rn
125,Q142,rw,Ubufaransa,name:rw
126,Q142,sa,फ्रांस,name:sa
127,Q142,sc,Frantza,name:sc
128,Q142,sd,فرانس,name:sd
129,Q142,se,Frankriika,name:se
130,Q142,sg,Farânzi,name:sg
131,Q142,sh,Francuska,name:sh
132,Q29,nl,Spanje,name:nl
133,Q29,ru,Испания,name:ru
134,Q29,sl,Španija,name:sl
135,Q29,en,Spain,name:en
136,Q29,es,España,name:es
137,Q29,zh,西班牙,name:zh
138,Q29,ca,Espanya,name:ca
139,Q29,ie,Hispania,name:ie
140,Q29,de,Spanien,name:de
141,Q29,hu,Spanyolország,name:hu
142,Q29,fr,Espagne,name:fr
143,Q29,br,Spagn,name:br
144,Q29,ro,Spania,name:ro
145,Q29,it,Spagna,name:it
146,Q29,pt,Espanha,name:pt
147,Q29,gl,España,name:gl
148,Q29,tl,Espanya,name:tl
149,Q29,ar,إسبانيا,name:ar
150,Q29,bg,Испания,name:bg
151,Q29,he,ספרד,name:he
152,Q29,ja,スペイン,name:ja
153,Q29,eo,Hispanio,name:eo
154,Q29,ia,Espania,name:ia
155,Q29,la,Hispania,name:la
156,Q29,ms,Sepanyol,name:ms
157,Q29,pl,Hiszpania,name:pl
158,Q29,uk,Іспанія,name:uk
159,Q29,vi,Tây Ban Nha,name:vi
160,Q29,el,Ισπανία,name:el
161,Q29,wa,Espagne,name:wa
162,Q29,an,Espanya,name:an
163,Q29,fi,Espanja,name:fi
164,Q29,sv,Spanien,name:sv
165,Q29,id,Spanyol,name:id
166,Q29,ko,스페인,name:ko
167,Q29,ch,España,name:ch
168,Q29,gn,España,name:gn
169,Q29,cy,Sbaen,name:cy
