,date,old_key,old_value,new_key_1,new_value_1,new_key_2,new_value_2,id,regex_type
0,2013-12-31,emergency,aed,emergency,defibrillator,,,58,dkey_dvalue_fixed_fixed
1,2014-06-13,amenity,emergency_phone,emergency,phone,,,47,dkey_dvalue_fixed_fixed
2,2015-09-11,amenity,fire_hydrant,emergency,fire_hydrant,,,64,dkey_dvalue_fixed_fixed
3,2015-01-08,aerialway,canopy,aerialway,zip_line,,,31,dkey_dvalue_fixed_fixed
4,2015-12-18,amenity,artwork,tourism,artwork,,,31,dkey_dvalue_fixed_fixed
5,2015-12-08,amenity,car_repair,shop,car_repair,,,31,dkey_dvalue_fixed_fixed
6,2016-01-02,amenity,citymap_post,tourism,information,,,31,dkey_dvalue_fixed_fixed
7,2015-12-18,amenity,community_center,amenity,community_centre,,,39,dkey_dvalue_fixed_fixed
8,2015-12-21,amenity,creche,amenity,childcare,,,31,dkey_dvalue_fixed_fixed
9,2015-02,amenity,dog_bin,amenity,waste_basket,waste,dog_excrement,31,dkey_dvalue_fixed_fixed
10,2015-02,amenity,dog_waste_bin,amenity,waste_basket,waste,dog_excrement,31,dkey_dvalue_fixed_fixed
11,2015-12-08,amenity,education,amenity,college,,,12,dkey_dvalue_fixed_fixed
12,2015-05-13,amenity,ev_charging,amenity,charging_station,,,26,dkey_dvalue_fixed_fixed
13,2009-10,amenity,garages,amenity,parking,,,50,dkey_dvalue_fixed_fixed
14,2007,amenity,hotel,tourism,hotel,,,7,dkey_dvalue_fixed_fixed
15,2015-12-22,amenity,kiosk,shop,kiosk,,,31,dkey_dvalue_fixed_fixed
16,2015-12-21,amenity,nursery,amenity,childcare,,,31,dkey_dvalue_fixed_fixed
17,2015-12-21,amenity,park,leisure,park,,,31,dkey_dvalue_fixed_fixed
18,2015-12-18,amenity,preschool,amenity,kindergarten,,,31,dkey_dvalue_fixed_fixed
19,2015-06-07,amenity,real_estate,office,estate_agent,,,31,dkey_dvalue_fixed_fixed
20,2015-04,amenity,sauna,leisure,sauna,,,32,dkey_dvalue_fixed_fixed
21,2014-10-20,amenity,winery,shop,winery,,,31,dkey_dvalue_fixed_fixed
22,2015-11-07,amenity,youth_centre,amenity,community_centre,community_centre:for,juvenile,20,dkey_dvalue_fixed_fixed
23,2013-10-06,bridge,arch,bridge,yes,bridge:structure,arch,25,dkey_dvalue_fixed_fixed
24,2013-10-06,bridge,beam,bridge,yes,bridge:structure,beam,25,dkey_dvalue_fixed_fixed
25,2013-10-06,bridge,humpback,bridge,yes,bridge:structure,humpback,25,dkey_dvalue_fixed_fixed
26,2013-10-06,bridge,lift,bridge,movable,bridge:movable,lift,25,dkey_dvalue_fixed_fixed
27,2013-10-06,bridge,pontoon,bridge,yes,bridge:structure,floating,25,dkey_dvalue_fixed_fixed
28,2013-10-06,bridge,suspension,bridge,yes,bridge:structure,suspension,25,dkey_dvalue_fixed_fixed
29,2013-10-06,bridge,swing,bridge,movable,bridge:movable,swing,24,dkey_dvalue_fixed_fixed
30,2018,building,condominium,building,apartments,,,56,dkey_dvalue_fixed_fixed
31,2018-06-28,camp_site,pitch,tourism,camp_pitch,,,31,dkey_dvalue_fixed_fixed
32,2018-06-28,camp_site,camp_pitch,tourism,camp_pitch,,,31,dkey_dvalue_fixed_fixed
