,error,type,id,key,value,action
0,deprecated,node,449673000,power,sub_station,update_tag
1,deprecated,node,469732906,power,sub_station,update_tag
2,deprecated,node,600168181,sport,football,update_tag
3,deprecated,node,635933984,power,station,update_tag
4,deprecated,node,636089790,power,station,update_tag
5,deprecated,node,694114075,power,sub_station,update_tag
6,deprecated,node,863038764,name:botanical,Júglans régia,update_tag
7,deprecated,node,863038845,name:botanical,Júglans régia,update_tag
8,deprecated,node,863039005,name:botanical,Júglans régia,update_tag
9,deprecated,node,863039247,name:botanical,Júglans régia,update_tag
10,deprecated,node,863039332,name:botanical,Júglans régia,update_tag
11,deprecated,node,863039461,name:botanical,Júglans régia,update_tag
12,deprecated,node,863039523,name:botanical,Castánea,update_tag
13,deprecated,node,863039558,name:botanical,Júglans régia,update_tag
14,deprecated,node,863657258,name:botanical,Júglans régia,update_tag
15,deprecated,node,863657398,name:botanical,Platánus,update_tag
16,deprecated,node,863657504,name:botanical,Júglans régia,update_tag
17,deprecated,node,863657561,name:botanical,Sálix,update_tag
18,deprecated,node,863657624,name:botanical,Júglans régia,update_tag
19,deprecated,node,863657751,name:botanical,Júglans régia,update_tag
20,deprecated,node,863657792,name:botanical,Júglans régia,update_tag
21,deprecated,node,863657859,name:botanical,Júglans régia,update_tag
22,deprecated,node,863657907,name:botanical,Júglans régia,update_tag
23,deprecated,node,863658073,name:botanical,Júglans régia,update_tag
24,deprecated,node,863658133,name:botanical,Sálix,update_tag
25,deprecated,node,863658155,name:botanical,Júglans régia,update_tag
26,deprecated,node,863658214,name:botanical,Júglans régia,update_tag
27,deprecated,node,863658425,name:botanical,Júglans régia,update_tag
28,deprecated,node,863658455,name:botanical,Júglans régia,update_tag
29,deprecated,node,863658494,name:botanical,Júglans régia,update_tag
30,deprecated,node,863658531,name:botanical,Júglans régia,update_tag
31,deprecated,node,863658565,name:botanical,Júglans régia,update_tag
32,deprecated,node,863658632,name:botanical,Júglans régia,update_tag
33,deprecated,node,863658730,name:botanical,Platánus,update_tag
34,deprecated,node,863658883,name:botanical,Sálix,update_tag
35,deprecated,node,863658926,name:botanical,Júglans régia,update_tag
36,deprecated,node,863658984,name:botanical,Júglans régia,update_tag
37,deprecated,node,863659109,name:botanical,Júglans régia,update_tag
38,deprecated,node,863659177,name:botanical,Júglans régia,update_tag
39,deprecated,node,863659243,name:botanical,Sálix,update_tag
40,deprecated,node,863659263,name:botanical,Júglans régia,update_tag
41,deprecated,node,863659371,name:botanical,Sálix,update_tag
42,deprecated,node,863659459,name:botanical,Júglans régia,update_tag
43,deprecated,node,863659468,name:botanical,Júglans régia,update_tag
44,deprecated,node,1016293343,building,entrance,update_tag
45,deprecated,node,1016333013,building,entrance,update_tag
46,deprecated,node,1052688432,power,sub_station,update_tag
47,deprecated,node,1057542894,building,entrance,update_tag
48,deprecated,node,1057543007,building,entrance,update_tag
49,deprecated,node,1057543265,building,entrance,update_tag
50,deprecated,node,1057543296,building,entrance,update_tag
51,deprecated,node,1057543394,building,entrance,update_tag
52,deprecated,node,1057543538,building,entrance,update_tag
53,deprecated,node,1057543682,building,entrance,update_tag
54,deprecated,node,1067358746,building,entrance,update_tag
55,deprecated,node,1067358773,building,entrance,update_tag
56,deprecated,node,1067358788,building,entrance,update_tag
57,deprecated,node,1067358789,building,entrance,update_tag
58,deprecated,node,1067358799,building,entrance,update_tag
59,deprecated,node,1067358800,building,entrance,update_tag
60,deprecated,node,1067358817,building,entrance,update_tag
61,deprecated,node,1067358829,building,entrance,update_tag
62,deprecated,node,1067358836,building,entrance,update_tag
63,deprecated,node,1067358837,building,entrance,update_tag
64,deprecated,node,1067358838,building,entrance,update_tag
65,deprecated,node,1067358843,building,entrance,update_tag
66,deprecated,node,1067358852,building,entrance,update_tag
67,deprecated,node,1067358853,building,entrance,update_tag
68,deprecated,node,1067358856,building,entrance,update_tag
69,deprecated,node,1067358873,building,entrance,update_tag
70,deprecated,node,1067358914,building,entrance,update_tag
71,deprecated,node,1067358940,building,entrance,update_tag
72,deprecated,node,1067358944,building,entrance,update_tag
73,deprecated,node,1067358953,building,entrance,update_tag
74,deprecated,node,1067358956,building,entrance,update_tag
75,deprecated,node,1067358959,building,entrance,update_tag
76,deprecated,node,1067358992,building,entrance,update_tag
77,deprecated,node,1067359018,building,entrance,update_tag
78,deprecated,node,1067359040,building,entrance,update_tag
79,deprecated,node,1067359049,building,entrance,update_tag
80,deprecated,node,1067359057,building,entrance,update_tag
81,deprecated,node,1067359092,building,entrance,update_tag
82,deprecated,node,1067359094,building,entrance,update_tag
83,deprecated,node,1067359124,building,entrance,update_tag
84,deprecated,node,1067359136,building,entrance,update_tag
85,deprecated,node,1067359174,building,entrance,update_tag
86,deprecated,node,1067359194,building,entrance,update_tag
87,deprecated,node,1067359198,building,entrance,update_tag
88,deprecated,node,1067359215,building,entrance,update_tag
89,deprecated,node,1067359226,building,entrance,update_tag
90,deprecated,node,1067359249,building,entrance,update_tag
91,deprecated,node,1067359254,building,entrance,update_tag
92,deprecated,node,1067359261,building,entrance,update_tag
93,deprecated,node,1067359277,building,entrance,update_tag
94,deprecated,node,1067359280,building,entrance,update_tag
95,deprecated,node,1067359286,building,entrance,update_tag
96,deprecated,node,1067359294,building,entrance,update_tag
97,deprecated,node,1067359305,building,entrance,update_tag
98,deprecated,node,1067359311,building,entrance,update_tag
99,deprecated,node,1067359312,building,entrance,update_tag
100,deprecated,node,1067359314,building,entrance,update_tag
101,deprecated,node,1067359330,building,entrance,update_tag
102,deprecated,node,1067359331,building,entrance,update_tag
103,deprecated,node,1067359338,building,entrance,update_tag
104,deprecated,node,1067359345,building,entrance,update_tag
105,deprecated,node,1067359352,building,entrance,update_tag
106,deprecated,node,1067359355,building,entrance,update_tag
107,deprecated,node,1067359358,building,entrance,update_tag
108,deprecated,node,1067359370,building,entrance,update_tag
109,deprecated,node,1067359385,building,entrance,update_tag
110,deprecated,node,1067359400,building,entrance,update_tag
111,deprecated,node,1067359446,building,entrance,update_tag
112,deprecated,node,1067359449,building,entrance,update_tag
113,deprecated,node,1067359450,building,entrance,update_tag
114,deprecated,node,1067359464,building,entrance,update_tag
115,deprecated,node,1067359467,building,entrance,update_tag
116,deprecated,node,1067359473,building,entrance,update_tag
117,deprecated,node,1067359490,building,entrance,update_tag
118,deprecated,node,1067359493,building,entrance,update_tag
119,deprecated,node,1067359511,building,entrance,update_tag
120,deprecated,node,1067359519,building,entrance,update_tag
121,deprecated,node,1067359542,building,entrance,update_tag
122,deprecated,node,1067359592,building,entrance,update_tag
123,deprecated,node,1067359616,building,entrance,update_tag
124,deprecated,node,1067359628,building,entrance,update_tag
125,deprecated,node,1067360655,building,entrance,update_tag
126,deprecated,node,1067360658,building,entrance,update_tag
127,deprecated,node,1067360659,building,entrance,update_tag
128,deprecated,node,1067360671,building,entrance,update_tag
129,deprecated,node,1067360674,building,entrance,update_tag
130,deprecated,node,1067360676,building,entrance,update_tag
131,deprecated,node,1067360678,building,entrance,update_tag
132,deprecated,node,1067360680,building,entrance,update_tag
133,deprecated,node,1067360683,building,entrance,update_tag
134,deprecated,node,1067360688,building,entrance,update_tag
135,deprecated,node,1067360689,building,entrance,update_tag
136,deprecated,node,1067360690,building,entrance,update_tag
137,deprecated,node,1067360707,building,entrance,update_tag
138,deprecated,node,1067360715,building,entrance,update_tag
139,deprecated,node,1067360721,building,entrance,update_tag
140,deprecated,node,1067360725,building,entrance,update_tag
141,deprecated,node,1067360730,building,entrance,update_tag
142,deprecated,node,1067360734,building,entrance,update_tag
143,deprecated,node,1067360738,building,entrance,update_tag
144,deprecated,node,1067360750,building,entrance,update_tag
145,deprecated,node,1067360752,building,entrance,update_tag
146,deprecated,node,1067360758,building,entrance,update_tag
147,deprecated,node,1067360769,building,entrance,update_tag
148,deprecated,node,1067360782,building,entrance,update_tag
149,deprecated,node,1067360783,building,entrance,update_tag
150,deprecated,node,1067360784,building,entrance,update_tag
151,deprecated,node,1067360793,building,entrance,update_tag
152,deprecated,node,1067360800,building,entrance,update_tag
153,deprecated,node,1067360806,building,entrance,update_tag
154,deprecated,node,1067360808,building,entrance,update_tag
155,deprecated,node,1067360812,building,entrance,update_tag
156,deprecated,node,1067360816,building,entrance,update_tag
157,deprecated,node,1067360831,building,entrance,update_tag
158,deprecated,node,1067360843,building,entrance,update_tag
159,deprecated,node,1067360844,building,entrance,update_tag
160,deprecated,node,1067360850,building,entrance,update_tag
161,deprecated,node,1067364602,building,entrance,update_tag
162,deprecated,node,1067364623,building,entrance,update_tag
163,deprecated,node,1067364626,building,entrance,update_tag
164,deprecated,node,1067364632,building,entrance,update_tag
165,deprecated,node,1067364635,building,entrance,update_tag
166,deprecated,node,1067364636,building,entrance,update_tag
167,deprecated,node,1067364648,building,entrance,update_tag
168,deprecated,node,1067364651,building,entrance,update_tag
169,deprecated,node,1067364675,building,entrance,update_tag
170,deprecated,node,1067364698,building,entrance,update_tag
171,deprecated,node,1067364701,building,entrance,update_tag
172,deprecated,node,1067364710,building,entrance,update_tag
173,deprecated,node,1067364718,building,entrance,update_tag
174,deprecated,node,1067364730,building,entrance,update_tag
175,deprecated,node,1067364732,building,entrance,update_tag
176,deprecated,node,1067364734,building,entrance,update_tag
177,deprecated,node,1067364752,building,entrance,update_tag
178,deprecated,node,1067364762,building,entrance,update_tag
179,deprecated,node,1067364765,building,entrance,update_tag
180,deprecated,node,1067364778,building,entrance,update_tag
181,deprecated,node,1067364787,building,entrance,update_tag
182,deprecated,node,1067364796,building,entrance,update_tag
183,deprecated,node,1067364806,building,entrance,update_tag
184,deprecated,node,1067364810,building,entrance,update_tag
185,deprecated,node,1067364820,building,entrance,update_tag
186,deprecated,node,1067364821,building,entrance,update_tag
187,deprecated,node,1067364826,building,entrance,update_tag
188,deprecated,node,1067364832,building,entrance,update_tag
189,deprecated,node,1067364838,building,entrance,update_tag
190,deprecated,node,1067364843,building,entrance,update_tag
191,deprecated,node,1067364855,building,entrance,update_tag
192,deprecated,node,1067364858,building,entrance,update_tag
193,deprecated,node,1067364876,building,entrance,update_tag
194,deprecated,node,1067364877,building,entrance,update_tag
195,deprecated,node,1067364879,building,entrance,update_tag
196,deprecated,node,1067364880,building,entrance,update_tag
197,deprecated,node,1067364884,building,entrance,update_tag
198,deprecated,node,1067364885,building,entrance,update_tag
199,deprecated,node,1067364891,building,entrance,update_tag
200,deprecated,node,1067364895,building,entrance,update_tag
