,id,lang,label,key
0,Q21197,ru,Кишинёв,name:ru
1,Q21197,nl,Chisinau,name:nl
2,Q21197,be,Кішынёў,name:be
3,Q21197,pt,Chișinău,name:pt
4,Q21197,af,Chișinău,name:af
5,Q21197,am,ኪሺንው,name:am
6,Q21197,an,Chișinău,name:an
7,Q21197,ar,كيشيناو,name:ar
8,Q21197,av,Кишинёв,name:av
9,Q21197,az,Kişinyov,name:az
10,Q21197,ba,Кишинёв,name:ba
11,Q21197,bg,Кишинев,name:bg
12,Q21197,bn,কিশিনাউ,name:bn
13,Q21197,bo,ཅི་སི་ནའུ།,name:bo
14,Q21197,br,Chişinău,name:br
15,Q21197,bs,Kišinjev,name:bs
16,Q21197,ca,Chișinău,name:ca
17,Q21197,ce,Кишинёв,name:ce
18,Q21197,co,Chişinău,name:co
19,Q21197,cs,Kišiněv,name:cs
20,Q21197,cv,Кишинёв,name:cv
21,Q21197,cy,Chișinău,name:cy
22,Q21197,da,Chișinău,name:da
23,Q21197,de,Chișinău,name:de
24,Q21197,el,Κισινάου,name:el
25,Q21197,en,Chișinău,name:en
26,Q21197,eo,Kiŝinevo,name:eo
27,Q21197,es,Chisináu,name:es
28,Q21197,et,Chișinău,name:et
29,Q21197,eu,Chisinau,name:eu
30,Q21197,fa,کیشیناو,name:fa
31,Q21197,fi,Chișinău,name:fi
32,Q21197,fo,Chișinău,name:fo
33,Q21197,fr,Chișinău,name:fr
34,Q21197,ga,Císineá,name:ga
35,Q21197,gd,Chișinău,name:gd
36,Q21197,gl,Chișinău,name:gl
37,Q21197,gn,Chisináu,name:gn
38,Q21197,gu,કીશિનેવ,name:gu
39,Q21197,gv,Chișinău,name:gv
40,Q21197,ha,Chisinau,name:ha
41,Q21197,he,קישינב,name:he
42,Q21197,hi,चिशिनाउ,name:hi
43,Q21197,hr,Kišinjev,name:hr
44,Q21197,ht,Chisinaou,name:ht
45,Q21197,hu,Chișinău,name:hu
46,Q21197,hy,Քիշնև,name:hy
47,Q21197,ia,Chișinău,name:ia
48,Q21197,id,Kishinev,name:id
49,Q21197,ie,Chișinău,name:ie
50,Q21197,io,Chisinau,name:io
51,Q21197,is,Kisínev,name:is
52,Q21197,it,Chișinău,name:it
53,Q21197,ja,キシナウ,name:ja
54,Q21197,jv,Chișinău,name:jv
55,Q21197,ka,კიშინიოვი,name:ka
56,Q21197,kk,Кишинев,name:kk
57,Q21197,kn,ಚಿಸಿನಾವ್,name:kn
58,Q21197,ko,키시너우,name:ko
59,Q21197,kv,Кишинёв,name:kv
60,Q21197,ky,Кишинёв,name:ky
61,Q21197,la,Chisinovia,name:la
62,Q21197,lb,Chișinău,name:lb
63,Q21197,lt,Kišiniovas,name:lt
64,Q21197,lv,Kišiņeva,name:lv
65,Q21197,mg,Chișinău,name:mg
66,Q21197,mi,Chișinău,name:mi
67,Q21197,mk,Кишињев,name:mk
68,Q21197,ml,Chișinău,name:ml
69,Q21197,mn,Кишинёв,name:mn
70,Q21197,mo,Кишинэу,name:mo
71,Q21197,mr,चिशिनाउ,name:mr
72,Q21197,ms,Chişinău,name:ms
73,Q21197,mt,Chișinău,name:mt
74,Q21197,nb,Chișinău,name:nb
75,Q21197,nn,Chişinău,name:nn
76,Q21197,oc,Chișinău,name:oc
77,Q21197,os,Кишинёв,name:os
78,Q21197,pa,ਕਿਸ਼ਨਾਓ,name:pa
79,Q21197,pl,Kiszyniów,name:pl
80,Q21197,ps,کیشیناو,name:ps
81,Q21197,qu,Chișinău,name:qu
82,Q21197,rm,Chișinău,name:rm
83,Q21197,ro,Chișinău,name:ro
84,Q21197,sa,चिशिनौ,name:sa
85,Q21197,sc,Chișinău,name:sc
86,Q21197,se,Chişinău,name:se
87,Q21197,sh,Kišinjev,name:sh
88,Q21197,si,චිසිනාවු,name:si
89,Q21197,sk,Kišiňov,name:sk
90,Q21197,sl,Kišinjev,name:sl
91,Q21197,sn,Chișinău,name:sn
92,Q21197,sq,Kishinau,name:sq
93,Q21197,sr,Кишињев,name:sr
94,Q21197,sv,Chișinău,name:sv
95,Q21197,sw,Kishineu,name:sw
96,Q21197,ta,சிஷினோ,name:ta
97,Q21197,te,చిషినో,name:te
98,Q21197,tg,Кишинёв,name:tg
